case_id,r_m,web,design_variant,split_method,split_error_percent,nominal_load_fraction,load_fraction,face_layers_each_side,core_thickness_m,A66_N_per_m,A66h_N,equivalent_total_shear_range_N,face_shear_range_MPa,curve_C_MPa,curve_b,curve_source,face_damage_20y_proxy,face_status,core_shear_range_MPa,core_damage_20y,core_fatigue_status
b10_split_minus10,6.8333,forward,fatigue_robust_final,stiffness_based,-10.0,0.4476434763754907,0.4028791287379416,5,0.06,119320000.0,482172239.5489654,237363.21960841876,2.340280952210693,62.0,10.0,Conservative design envelope: C=62 MPa from MAT-002 static shear strength and b=10,1.4708011057694304e-07,PASS,0.004363235673613156,5.229986363790084e-26,SOURCED_CURVE_PASS
b10_split_minus10,6.8333,aft,fatigue_robust_final,stiffness_based,-10.0,0.5523565236245094,0.5971208712620584,6,0.06,142920000.0,594962277.0825502,237363.21960841876,2.8110479401807082,62.0,10.0,Conservative design envelope: C=62 MPa from MAT-002 static shear strength and b=10,9.195100730207727e-07,PASS,0.00524093683762505,4.787090402579397e-25,SOURCED_CURVE_PASS
b10_split_plus10,6.8333,forward,fatigue_robust_final,stiffness_based,10.0,0.4476434763754907,0.4924078240130398,5,0.06,119320000.0,482172239.5489654,237363.21960841876,2.860343386035291,62.0,10.0,Conservative design envelope: C=62 MPa from MAT-002 static shear strength and b=10,1.0940966918694772e-06,PASS,0.005332843601082746,5.905744840529582e-25,SOURCED_CURVE_PASS
b10_split_plus10,6.8333,aft,fatigue_robust_final,stiffness_based,10.0,0.5523565236245094,0.5075921759869602,6,0.06,142920000.0,594962277.0825502,237363.21960841876,2.389576398065274,62.0,10.0,Conservative design envelope: C=62 MPa from MAT-002 static shear strength and b=10,1.811687007399156e-07,PASS,0.0044551424370708505,6.727595273561679e-26,SOURCED_CURVE_PASS
b9_split_minus10,6.8333,forward,fatigue_robust_final,stiffness_based,-10.0,0.4476434763754907,0.4028791287379416,5,0.06,119320000.0,482172239.5489654,237363.21960841876,2.340280952210693,62.0,9.0,"Estimated conservative envelope: measured Saertex VU 90079 R=-1 C_shear=78 MPa, b=9.709 rounded down to C=62 MPa, b=9",2.8235699609882632e-06,PASS,0.004363235673613156,5.229986363790084e-26,SOURCED_CURVE_PASS
b9_split_minus10,6.8333,aft,fatigue_robust_final,stiffness_based,-10.0,0.5523565236245094,0.5971208712620584,6,0.06,142920000.0,594962277.0825502,237363.21960841876,2.8110479401807082,62.0,9.0,"Estimated conservative envelope: measured Saertex VU 90079 R=-1 C_shear=78 MPa, b=9.709 rounded down to C=62 MPa, b=9",1.4696057484728426e-05,PASS,0.00524093683762505,4.787090402579397e-25,SOURCED_CURVE_PASS
b9_split_plus10,6.8333,forward,fatigue_robust_final,stiffness_based,10.0,0.4476434763754907,0.4924078240130398,5,0.06,119320000.0,482172239.5489654,237363.21960841876,2.860343386035291,62.0,9.0,"Estimated conservative envelope: measured Saertex VU 90079 R=-1 C_shear=78 MPa, b=9.709 rounded down to C=62 MPa, b=9",1.7185023660143146e-05,PASS,0.005332843601082746,5.905744840529582e-25,SOURCED_CURVE_PASS
b9_split_plus10,6.8333,aft,fatigue_robust_final,stiffness_based,10.0,0.5523565236245094,0.5075921759869602,6,0.06,142920000.0,594962277.0825502,237363.21960841876,2.389576398065274,62.0,9.0,"Estimated conservative envelope: measured Saertex VU 90079 R=-1 C_shear=78 MPa, b=9.709 rounded down to C=62 MPa, b=9",3.406236926831908e-06,PASS,0.0044551424370708505,6.727595273561679e-26,SOURCED_CURVE_PASS
nominal_b10_split0,10.25,forward,fatigue_robust_final,stiffness_based,0.0,0.49141199157758997,0.49141199157758997,5,0.06,119320000.0,217506857.54665366,231513.73513518577,6.17208026420114,62.0,10.0,Conservative design envelope: C=62 MPa from MAT-002 static shear strength and b=10,0.0023943609488178766,PASS,0.011507268289188567,6.399653339848234e-21,SOURCED_CURVE_PASS
nominal_b10_split0,10.25,aft,fatigue_robust_final,stiffness_based,0.0,0.50858800842241,0.50858800842241,6,0.06,142920000.0,225109239.0780684,231513.73513518577,6.17208026420114,62.0,10.0,Conservative design envelope: C=62 MPa from MAT-002 static shear strength and b=10,0.0023943609488178766,PASS,0.011507268289188567,6.399653339848234e-21,SOURCED_CURVE_PASS
