forward_layers_each_side,aft_layers_each_side,core_thickness_m,spanwise_zones_per_web,max_adjacent_layer_step,estimated_web_material_mass_kg,max_nominal_split_imbalance,max_face_D20_all_cases,max_core_D20_all_cases,status,selected
3,6,0.08,1,0,3463.1280295723095,0.17054823404518282,4.5789913877088555,1.1315193873853277e-17,FAIL,False
3,6,0.1,1,0,3748.778515213504,0.16988932620998953,4.410941520791135,1.0761338395289365e-17,FAIL,False
3,7,0.05,1,0,3285.420608056311,0.20437885900476838,1.9701055568021908,3.6478116000401535e-18,FAIL,False
3,7,0.06,1,0,3428.2458508769073,0.2040178495785988,1.9368150974291913,3.565317121983779e-18,FAIL,False
3,7,0.08,1,0,3713.8963365181016,0.2032997866210805,1.8720929428793238,3.4063239697509868e-18,FAIL,False
3,7,0.1,1,0,3999.5468221592964,0.20258695020062523,1.8097649956844812,3.254979625831548e-18,FAIL,False
3,8,0.05,1,0,3536.1889150021025,0.2312437250530055,0.869489837707735,1.2168625644098382e-18,FAIL,False
3,8,0.06,1,0,3679.0141578227,0.23087069213956524,0.8560627630591742,1.19170724489472e-18,FAIL,False
3,8,0.08,1,0,3964.6646434638938,0.23012834434158552,0.8298942600464901,1.1430694147205862e-18,FAIL,False
3,8,0.1,1,0,4250.315129105088,0.22939091287660496,0.8046115530987688,1.0965737362895092e-18,FAIL,False
3,9,0.05,1,0,3786.957221947895,0.25363260757311124,0.41081904188285195,4.4483121748891e-19,PASS,False
3,9,0.06,1,0,3929.782464768492,0.25325639099381814,0.4049780397737963,4.363629357426542e-19,PASS,False
3,9,0.08,1,0,4215.432950409686,0.2525073966476786,0.39357082601854987,4.199453617972899e-19,PASS,False
3,9,0.1,1,0,4501.083436050881,0.2517629525658788,0.3825195100279202,4.041945278750324e-19,PASS,False
3,10,0.05,1,0,4037.7255288936867,0.2725781076591077,0.20563100520830757,1.7570102966805767e-19,PASS,False
3,10,0.06,1,0,4180.550771714285,0.27220405405814163,0.20292215721515416,1.7260138530437133e-19,PASS,False
3,10,0.08,1,0,4466.201257355478,0.2714591040853399,0.19762260023998834,1.665782530659578e-19,PASS,False
3,10,0.1,1,0,4751.851742996672,0.2707183342246271,0.19247638003687068,1.6078204734051727e-19,PASS,False
3,11,0.05,1,0,4288.493835839479,0.28881788191241725,0.1081427987299261,7.41604186715853e-20,PASS,False
3,11,0.06,1,0,4431.319078660075,0.28844922762929237,0.10681569932967716,7.294146536145742e-20,PASS,False
3,11,0.08,1,0,4716.96956430127,0.287714809392291,0.10421544226763599,7.05681387431511e-20,PASS,False
3,11,0.1,1,0,5002.620049942464,0.28698421981457845,0.10168532746666152,6.827820141094463e-20,PASS,False
3,12,0.05,1,0,4539.262142785271,0.30289293102463455,0.059362672848812845,3.3154657654243624e-20,PASS,False
3,12,0.06,1,0,4682.087385605868,0.3025316044973019,0.05868085523256409,3.264454368970216e-20,PASS,False
3,12,0.08,1,0,4967.737871247063,0.30181159620357867,0.05734316870002359,3.1649626291343015e-20,PASS,False
3,12,0.1,1,0,5253.388356888257,0.30109509280062274,0.05603927847788915,3.06874585980861e-20,PASS,False
4,2,0.05,1,0,2303.5511551049426,0.2030507072526283,320.02383880240984,3.382777622256706e-15,FAIL,False
4,2,0.06,1,0,2446.37639792554,0.20258211592712994,310.3691809151443,3.2465109577812216e-15,FAIL,False
4,2,0.08,1,0,2732.026883566734,0.20165321578817202,292.0229552812553,2.9915724681611614e-15,FAIL,False
4,2,0.1,1,0,3017.677369207928,0.2007351972888745,274.88266501430854,2.7582894252872962e-15,FAIL,False
4,3,0.05,1,0,2554.3194620507347,0.11396809012766723,51.829639448040794,2.938373506691697e-16,FAIL,False
4,3,0.06,1,0,2697.144704871332,0.11378934029221333,50.58517202450672,2.8440675193339485e-16,FAIL,False
4,3,0.08,1,0,2982.7951905125265,0.11343460284745266,48.194697075886644,2.665146301061816e-16,FAIL,False
4,3,0.1,1,0,3268.4456761537203,0.11308350118642801,45.92919341614394,2.4983576071355467e-16,FAIL,False
4,4,0.05,1,0,2805.0877689965273,0.044921778583128014,12.747494922343012,4.471856408378979e-17,FAIL,False
4,4,0.06,1,0,2947.9130118171242,0.04492177858312796,12.486219992777507,4.3492671446465733e-17,FAIL,False
4,4,0.08,1,0,3233.563497458318,0.044921778583128014,11.981331929357411,4.114864761525171e-17,FAIL,False
4,4,0.1,1,0,3519.2139830995125,0.04492177858312796,11.499025952913133,3.894080198022973e-17,FAIL,False
4,5,0.05,1,0,3055.856075942319,0.06231378118644343,4.259096191891545,1.026705571836618e-17,FAIL,False
4,5,0.06,1,0,3198.6813187629164,0.062201663773910176,4.18075603575361,1.0014380457675977e-17,FAIL,False
4,5,0.08,1,0,3484.3318044041107,0.061978797557726895,4.028833334398491,9.528996372909008e-18,FAIL,False
4,5,0.1,1,0,3769.9822900453046,0.061757737665828594,3.8830199597036854,9.068983566387078e-18,FAIL,False
4,6,0.05,1,0,3306.6243828881115,0.10619331937210541,1.7532330846922033,3.1192419381943788e-18,FAIL,False
4,6,0.06,1,0,3449.4496257087085,0.10601175424938225,1.7239851673399869,3.0495980964383702e-18,FAIL,False
4,6,0.08,1,0,3735.100111349903,0.10565061937994191,1.6671017333137705,2.9153085180795043e-18,FAIL,False
4,6,0.1,1,0,4020.7505969910967,0.10529212073531835,1.6122960930639287,2.7873985960043254e-18,FAIL,False
4,7,0.05,1,0,3557.3926898339037,0.1420763842064029,0.7816078312972058,1.0547010558653626e-18,FAIL,False
4,7,0.06,1,0,3700.2179326545006,0.14185136945466814,0.7696787193114821,1.0331517380382185e-18,FAIL,False
4,7,0.08,1,0,3985.868418295695,0.14140358863341362,0.7464225968631594,9.914695977298879e-19,FAIL,False
4,7,0.1,1,0,4271.518903936889,0.14095878116892513,0.7239446252408903,9.516022385087162e-19,FAIL,False
4,8,0.05,1,0,3808.160996779696,0.17196631396824286,0.37243776075233465,3.899606696776552e-19,PASS,False
4,8,0.06,1,0,3950.986239600293,0.1717142756806599,0.3671994065495103,3.826166020691756e-19,PASS,False
4,8,0.08,1,0,4236.6367252414875,0.17121250847252817,0.3569665061318244,3.683737719271315e-19,PASS,False
4,8,0.1,1,0,4522.287210882681,0.17071379698071942,0.3470494751421243,3.5470324946594505e-19,PASS,False
4,9,0.05,1,0,4058.929303725488,0.19724883426021422,0.18777106199937213,1.555286146811219e-19,PASS,False
4,9,0.06,1,0,4201.754546546085,0.1969804465843824,0.18532215487793136,1.5281214213370307e-19,PASS,False
4,9,0.08,1,0,4487.40503218728,0.19644594167135165,0.18053008523481198,1.4753205410406376e-19,PASS,False
