panel,load_case,a_over_b,a_m,applied_Nx_N_per_m,global_CLPT_Nx_N_per_m,global_shear_corrected_Nx_N_per_m,face_wrinkling_Nx_N_per_m,core_shear_crimping_Nx_N_per_m,face_compression_Nx_N_per_m,governing_mode,reserve_factor,margin_of_safety
LE_upper_sandwich,109MPa_reference,2.75,2.2067097660727,433392.3444976077,1533506.2283763685,724132.1752416622,1682652.061232267,1225000.0,2100000.0,global_buckling,1.6708467153038495,0.6708467153038495
LE_upper_sandwich,109MPa_reference,2.775,2.226770763946088,433392.3444976077,1537658.0123113326,725056.6162637448,1682652.061232267,1225000.0,2100000.0,global_buckling,1.6729797502635562,0.6729797502635562
LE_upper_sandwich,109MPa_reference,2.8000000000000003,2.2468317618194766,433392.3444976077,1542031.9415592593,726027.671023825,1682652.061232267,1225000.0,2100000.0,global_buckling,1.675220340741004,0.675220340741004
LE_upper_sandwich,109MPa_reference,2.825,2.2668927596928645,433392.3444976077,1546623.1597173186,727043.8350587484,1682652.061232267,1225000.0,2100000.0,global_buckling,1.677565015370874,0.6775650153708741
LE_upper_sandwich,109MPa_reference,2.85,2.286953757566253,433392.3444976077,1551427.022444405,728103.646320524,1682652.061232267,1225000.0,2100000.0,global_buckling,1.6800104006556655,0.6800104006556655
LE_upper_sandwich,109MPa_reference,2.875,2.3070147554396407,433392.3444976077,1556439.0864454375,729205.6838358716,1682652.061232267,1225000.0,2100000.0,global_buckling,1.682553217872765,0.6825532178727649
LE_upper_sandwich,109MPa_reference,2.9000000000000004,2.327075753313029,433392.3444976077,1561655.0991175142,730348.566412511,1682652.061232267,1225000.0,2100000.0,global_buckling,1.6851902800893672,0.6851902800893672
LE_upper_sandwich,109MPa_reference,2.9250000000000003,2.3471367511864174,433392.3444976077,1564702.329012914,731014.3674409426,1682652.061232267,1225000.0,2100000.0,global_buckling,1.686726534794566,0.6867265347945659
LE_upper_sandwich,109MPa_reference,2.95,2.3671977490598053,433392.3444976077,1559435.9909039133,729862.8338326556,1682652.061232267,1225000.0,2100000.0,global_buckling,1.6840695113770854,0.6840695113770854
LE_upper_sandwich,109MPa_reference,2.975,2.3872587469331936,433392.3444976077,1554449.9127006654,728768.7620995885,1682652.061232267,1225000.0,2100000.0,global_buckling,1.6815450742314886,0.6815450742314886
LE_upper_sandwich,109MPa_reference,3.0,2.407319744806582,433392.3444976077,1549736.035706957,727730.9842521317,1682652.061232267,1225000.0,2100000.0,global_buckling,1.6791505283641408,0.6791505283641408
LE_upper_sandwich,109MPa_reference,3.0250000000000004,2.4273807426799703,433392.3444976077,1545286.632848693,726748.3545825334,1682652.061232267,1225000.0,2100000.0,global_buckling,1.6768832301940788,0.6768832301940788
LE_upper_sandwich,109MPa_reference,3.0500000000000003,2.447441740553358,433392.3444976077,1541094.292431831,725819.7493673991,1682652.061232267,1225000.0,2100000.0,global_buckling,1.674740586866563,0.674740586866563
LE_upper_sandwich,109MPa_reference,3.075,2.4675027384267465,433392.3444976077,1537151.9028208705,724944.0665594881,1682652.061232267,1225000.0,2100000.0,global_buckling,1.6727200555419357,0.6727200555419357
LE_upper_sandwich,109MPa_reference,3.1,2.4875637363001344,433392.3444976077,1533452.6379787624,724120.2254704386,1682652.061232267,1225000.0,2100000.0,global_buckling,1.6708191426635497,0.6708191426635497
LE_upper_sandwich,109MPa_reference,3.125,2.5076247341735227,433392.3444976077,1529989.9438133142,723347.1664459034,1682652.061232267,1225000.0,2100000.0,global_buckling,1.6690354032081807,0.6690354032081807
LE_upper_sandwich,109MPa_reference,3.1500000000000004,2.527685732046911,433392.3444976077,1526757.5252791026,722623.8505344605,1682652.061232267,1225000.0,2100000.0,global_buckling,1.6673664399220818,0.6673664399220818
LE_upper_sandwich,109MPa_reference,3.1750000000000003,2.5477467299202994,433392.3444976077,1523749.3341874864,721949.2591515436,1682652.061232267,1225000.0,2100000.0,global_buckling,1.6658099025455415,0.6658099025455415
LE_upper_sandwich,109MPa_reference,3.2,2.5678077277936873,433392.3444976077,1520959.5576806355,721322.3937395245,1682652.061232267,1225000.0,2100000.0,global_buckling,1.6643634870285675,0.6643634870285675
LE_upper_sandwich,109MPa_reference,3.225,2.5878687256670756,433392.3444976077,1518382.6073285607,720742.2754249842,1682652.061232267,1225000.0,2100000.0,global_buckling,1.6630249347400798,0.6630249347400798
LE_upper_sandwich,109MPa_reference,3.25,2.6079297235404635,433392.3444976077,1516013.1088109561,720207.9446741123,1682652.061232267,1225000.0,2100000.0,global_buckling,1.6617920316727879,0.6617920316727879
LE_upper_sandwich,109MPa_reference,3.2750000000000004,2.627990721413852,433392.3444976077,1513845.8921482712,719718.4609470874,1682652.061232267,1225000.0,2100000.0,global_buckling,1.6606626076457154,0.6606626076457154
LE_upper_sandwich,109MPa_reference,3.3000000000000003,2.64805171928724,433392.3444976077,1511875.9824488603,719272.9023522148,1682652.061232267,1225000.0,2100000.0,global_buckling,1.6596345355061646,0.6596345355061646
LE_upper_sandwich,109MPa_reference,3.325,2.668112717160628,433392.3444976077,1510098.59114128,718870.3653005166,1682652.061232267,1225000.0,2100000.0,global_buckling,1.6587057303327257,0.6587057303327257
LE_upper_sandwich,109MPa_reference,3.35,2.6881737150340164,433392.3444976077,1508509.107662882,718509.9641614106,1682652.061232267,1225000.0,2100000.0,global_buckling,1.6578741486407975,0.6578741486407975
LE_upper_sandwich,109MPa_reference,3.375,2.7082347129074043,433392.3444976077,1507103.0915777606,718190.8309200398,1682652.061232267,1225000.0,2100000.0,global_buckling,1.6571377875919178,0.6571377875919178
LE_upper_sandwich,109MPa_reference,3.4000000000000004,2.728295710780793,433392.3444976077,1505876.2650988924,717912.1148367664,1682652.061232267,1225000.0,2100000.0,global_buckling,1.6564946842080854,0.6564946842080854
LE_upper_sandwich,109MPa_reference,3.4250000000000003,2.748356708654181,433392.3444976077,1504824.5059909564,717672.9821092822,1682652.061232267,1225000.0,2100000.0,global_buckling,1.6559429145921236,0.6559429145921236
